Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1146,1160,1117,1143,1179,1157,1144,1138
B1,1095,1090,1085,1109,1082,1100,1095,1104
B2,1129,1113,1081,1116,1122,1137,1104,1125
B3,1237,1219,1229,1592,1196,1195,1214,1245
B4,1180,1138,1162,1183,1163,1170,1166,1182
B5,1143,1119,1132,1145,1132,1138,1130,1111
B6,1215,1170,1200,1198,1179,1553,1172,1201
B7,1161,1157,1131,1161,1129,1167,1150,1130
B8,1118,411,1119,1146,1131,1115,1117,1134
B9,1420,1138,1142,1146,1147,1161,1147,1149
B10,1102,1104,1106,1115,1104,1113,1088,1099
B11,1152,1140,1137,1190,1138,1137,1122,1131
B12,1126,1103,1118,1132,1119,1132,1119,1134
B13,1116,1098,419,1139,1107,1114,1102,1093
B14,1131,1135,1124,1148,1125,1144,1138,1124
B15,1112,1113,1120,1123,1127,1147,1131,1133
