1824,7
1781,5
1738,7
1696,6
1655
1614
1573,7
1533,9
1494,9
1456,5
1418,8
1381,8
1345,5
1309,9
1275,1
1241
1207,6
1174,9
1143
1111,8
1081,4
1051,6
1022,6
994,28
966,67
939,77
913,55
888,01
863,14
838,93
815,37
792,45
770,15
748,46
727,38
706,89
686,97
667,62
648,81
630,55
612,81
595,58
578,86
562,62
546,85
531,55
516,7
502,29
488,3
474,73
461,56
448,79
436,39
424,36
412,69
401,38
390,39
379,74
369,41
359,38
349,66
340,22
331,07
322,19
313,57
305,22
297,11
289,24
281,61
274,2
267,01
260,03
253,26
246,7
240,32
234,13
228,12
222,29
216,63
211,13
205,79
