2725,3
2687,6
2658,4
2621,7
2593
2558,5
2521,3
2489,4
2456,2
2422,3
2387,8
2362,8
2329
2284,4
2253,4
2219,7
2185,2
2154,3
2128,2
2097,6
2058,6
2028,2
1998,5
1967,6
1938,7
1909,9
1884,2
1854,7
1826,4
1798,6
1771,3
1744,6
1714,9
1689,1
1661,8
1637,4
1611,2
1587,3
1566,2
1532,8
1510,7
1459,9
1432,8
1401,1
1386,2
1317,8
1279,6
1255,2
1226,6
1177,4
1161,2
1134,9
1121,7
1108,5
1097,6
1083,8
1074,9
1063,3
1052,2
1040,2
1025,3
1016,1
1005,8
995,61
983,24
972,46
963,86
953,79
943,54
932,31
922,86
913,54
902,67
894,42
886,29
876,4
867,89
859,74
852
843,72
836,18
