Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1691,1677,1668,1672,1723,1695,1721,1684
B1,1648,1651,1630,1635,1619,1625,1645,1668
B2,1664,1679,1595,1610,1654,1628,1667,1681
B3,1685,1648,1741,3689,1714,1621,1674,1613
B4,1632,1626,1649,1633,1657,1663,1655,1708
B5,1746,1655,1736,1693,1668,1717,1685,1649
B6,1676,1608,1664,1626,1635,3690,1653,1670
B7,1657,1678,1637,1659,1644,1629,1684,1649
B8,1682,422,1676,1677,1690,1689,1684,1690
B9,3450,1612,1616,1628,1613,1612,1635,1639
B10,1651,1678,1655,1619,1657,1631,1625,1642
B11,1680,1753,1698,1748,1723,1652,1723,1698
B12,1728,1763,1639,1667,1677,1660,1644,1737
B13,1675,1629,429,1706,1676,1644,1655,1618
B14,1697,1653,1653,1655,1704,1695,1704,1612
B15,1632,1703,1693,1666,1692,1670,1695,1684
