Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,965,974,929,949,991,961,957,950
B1,909,903,886,923,900,912,911,924
B2,931,937,906,925,934,929,908,934
B3,1002,990,1021,1342,975,966,995,1036
B4,978,938,966,980,960,966,967,985
B5,948,931,938,951,920,944,932,915
B6,999,954,987,979,972,1323,946,1009
B7,979,971,942,967,938,978,962,940
B8,918,431,923,959,938,913,925,950
B9,1182,934,966,942,950,974,962,956
B10,919,929,920,919,920,926,909,920
B11,949,963,952,1007,958,946,937,948
B12,935,918,930,945,932,935,935,951
B13,920,904,442,944,919,920,911,901
B14,948,946,937,952,943,951,961,936
B15,916,926,922,927,931,949,940,938
