Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2514,2511,2470,2488,2517,2491,2508,2495
B1,2489,2475,2461,2465,2462,2469,2484,2482
B2,2497,2486,2455,2494,2486,2468,2467,2499
B3,2562,2501,2513,3817,2513,2483,2496,2504
B4,2494,2464,2477,2461,2479,2474,2487,2493
B5,2530,2478,2507,2487,2486,2513,2472,2498
B6,2534,2461,2499,2495,2464,3817,2474,2475
B7,2493,2504,2472,2487,2480,2445,2486,2471
B8,2510,344,2486,2529,2499,2499,2487,2528
B9,3647,2472,2491,2482,2515,2484,2523,2477
B10,2488,2484,2486,2469,2479,2458,2469,2471
B11,2515,2528,2497,2531,2512,2470,2500,2496
B12,2507,2484,2478,2484,2498,2482,2450,2499
B13,2497,2467,350,2475,2489,2483,2481,2470
B14,2511,2480,2488,2510,2498,2504,2508,2473
B15,2483,2493,2486,2489,2500,2500,2508,2502
