Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2522,2507,2471,2496,2521,2495,2503,2506
B1,2498,2469,2466,2459,2473,2436,2495,2490
B2,2498,2499,2466,2461,2479,2478,2470,2503
B3,2562,2499,2520,3807,2515,2494,2496,2507
B4,2496,2472,2480,2467,2490,2474,2486,2491
B5,2530,2476,2518,2499,2492,2491,2472,2499
B6,2559,2468,2513,2504,2474,3813,2481,2471
B7,2502,2500,2489,2493,2487,2475,2493,2481
B8,2510,341,2492,2528,2507,2507,2482,2524
B9,3634,2486,2495,2487,2516,2487,2521,2481
B10,2496,2491,2496,2465,2492,2465,2467,2477
B11,2518,2532,2499,2524,2510,2478,2492,2516
B12,2511,2490,2476,2489,2493,2486,2457,2495
B13,2508,2478,351,2485,2497,2485,2491,2467
B14,2518,2503,2493,2502,2495,2507,2507,2475
B15,2493,2511,2497,2496,2498,2511,2503,2517
