Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2403,2391,2359,2381,2404,2378,2387,2376
B1,2344,2343,2319,2327,2338,2327,2354,2349
B2,2370,2372,2308,2339,2354,2364,2340,2381
B3,2403,2375,2386,3784,2370,2334,2344,2361
B4,2360,2354,2357,2307,2376,2353,2347,2374
B5,2409,2323,2383,2362,2359,2387,2347,2352
B6,2399,2313,2368,2351,2332,3767,2340,2340
B7,2370,2364,2345,2364,2356,2328,2365,2345
B8,2401,356,2373,2473,2405,2391,2374,2478
B9,3644,2360,2362,2344,2394,2361,2410,2360
B10,2372,2347,2357,2338,2343,2334,2329,2341
B11,2385,2431,2366,2401,2397,2350,2374,2366
B12,2382,2388,2350,2364,2374,2358,2348,2388
B13,2370,2353,365,2379,2375,2354,2361,2332
B14,2395,2353,2351,2364,2382,2368,2379,2317
B15,2350,2360,2367,2349,2374,2361,2386,2382
