Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1600,1593,1558,1593,1610,1608,1622,1591
B1,1548,1559,1522,1534,1514,1529,1547,1570
B2,1585,1592,1490,1539,1575,1546,1546,1608
B3,1576,1537,1623,3682,1564,1506,1559,1498
B4,1549,1534,1528,1523,1541,1553,1548,1583
B5,1641,1568,1631,1591,1573,1606,1576,1545
B6,1572,1533,1562,1544,1552,3683,1551,1597
B7,1558,1575,1538,1557,1546,1527,1576,1554
B8,1593,421,1554,1611,1605,1601,1575,1612
B9,3437,1489,1514,1519,1505,1507,1523,1537
B10,1556,1579,1551,1523,1547,1523,1529,1552
B11,1580,1664,1603,1653,1620,1555,1627,1612
B12,1621,1671,1534,1567,1558,1563,1557,1631
B13,1566,1529,434,1605,1577,1529,1555,1517
B14,1622,1568,1553,1562,1617,1598,1612,1524
B15,1538,1598,1620,1570,1623,1569,1622,1607
