Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2098,2077,2045,2041,2089,2076,2092,2081
B1,2057,2027,2026,2044,2011,2024,2052,2044
B2,2056,2085,2004,2016,2043,2028,2042,2081
B3,2096,2058,2108,3772,2064,2038,2057,2019
B4,2057,2020,2042,2030,2066,2045,2051,2079
B5,2109,2039,2096,2063,2053,2082,2050,2056
B6,2094,1975,2067,2042,2015,3767,2038,2053
B7,2048,2088,2052,2068,2043,2028,2080,2051
B8,2084,390,2054,2083,2092,2090,2066,2093
B9,3542,2030,2027,2023,2015,2027,2039,2044
B10,2039,2048,2037,2040,2037,2026,2037,2030
B11,2080,2099,2074,2100,2080,2044,2058,2068
B12,2117,2135,2063,2044,2083,2052,2034,2114
B13,2082,2038,386,2097,2076,2044,2062,2023
B14,2107,2072,2073,2075,2089,2088,2109,2048
B15,2064,2082,2084,2063,2096,2079,2104,2081
