Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2095,2058,2047,2064,2109,2077,2095,2077
B1,2055,2041,2032,2031,2014,2028,2060,2047
B2,2032,2073,2001,2015,2052,2039,2023,2072
B3,2090,2058,2099,3776,2064,2017,2053,2015
B4,2052,2025,2040,2022,2056,2049,2067,2068
B5,2104,2044,2094,2066,2053,2060,2053,2049
B6,2118,2007,2068,2051,2012,3779,2037,2052
B7,2055,2080,2062,2071,2041,2023,2067,2056
B8,2091,385,2048,2081,2085,2080,2059,2101
B9,3548,2023,2021,2020,2014,2029,2040,2039
B10,2034,2047,2040,2033,2037,2029,2023,2035
B11,2091,2107,2080,2096,2094,2031,2059,2068
B12,2130,2134,2061,2043,2092,2065,2045,2116
B13,2083,2039,384,2091,2081,2046,2062,2023
B14,2117,2075,2068,2072,2097,2087,2106,2050
B15,2056,2078,2087,2061,2102,2066,2100,2086
