Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2002,1975,1962,1967,2018,1996,2012,1991
B1,1975,1963,1939,1927,1919,1940,1952,1972
B2,1967,1978,1911,1909,1948,1932,1927,1986
B3,2011,1951,2031,3749,1980,1938,1976,1935
B4,1962,1929,1949,1942,1965,1960,1957,1987
B5,2014,1940,2016,1975,1973,1995,1963,1929
B6,2010,1916,1975,1961,1945,3744,1932,1971
B7,1957,1970,1944,1988,1959,1948,1970,1958
B8,1992,391,1964,1993,2002,1983,1975,2001
B9,3526,1937,1943,1941,1935,1928,1943,1975
B10,1948,1958,1953,1941,1975,1938,1938,1924
B11,1994,2021,1995,2039,2012,1954,2005,1974
B12,2029,2021,1956,1958,1998,1964,1952,2022
B13,1979,1946,396,1988,1987,1958,1962,1939
B14,1986,2016,1966,1974,1979,1984,1978,1928
B15,1953,1985,1964,1975,1992,1976,1999,1989
