3769,3750,3745,3750,3749,3743,3747,3751
3777,3753,3761,3761,3759,3761,3753,3758
3770,3744,3744,3743,3743,3749,3748,3735
3782,3738,3735,3740,3744,3743,3738,3740
3770,3752,3742,3748,3750,3746,3741,3743
3775,3752,3749,3755,3755,3753,3745,3751
3808,3746,3747,3745,3748,3748,3750,3741
3787,500,3745,3766,3758,3754,3755,3762
3770,3745,3744,3746,3750,3744,3744,3744
3773,3751,3746,3753,3750,3751,3750,3744
3773,3755,3750,3753,3755,3756,3758,3752
3775,3757,3745,3750,3748,3746,3749,3751
3780,3753,3753,3754,515,3743,3754,3755
3782,3753,3755,3750,3753,3748,3749,3751
3821,3796,4018,4023,3797,3803,3800,3801
3771,3749,3751,3753,3752,3749,3750,3754
