3767,3749,3746,3750,3752,3745,3747,3752
3778,3755,3759,3764,3759,3758,3752,3755
3771,3743,3742,3746,3747,3745,3751,3743
3782,3740,3739,3740,3743,3742,3738,3739
3772,3756,3745,3749,3749,3747,3743,3740
3776,3752,3749,3751,3754,3754,3746,3750
3774,3750,3749,3743,3748,3749,3748,3740
3783,500,3746,3762,3754,3754,3754,3763
3770,3744,3743,3744,3749,3744,3742,3739
3772,3752,3744,3752,3750,3746,3751,3745
3773,3756,3750,3752,3756,3758,3758,3752
3772,3756,3750,3751,3753,3751,3750,3749
3778,3754,3753,3750,515,3744,3753,3756
3781,3754,3756,3749,3755,3748,3748,3749
3821,3797,4019,4021,3796,3803,3796,3802
3775,3750,3750,3748,3756,3753,3746,3753
