3767,3750,3745,3746,3749,3742,3749,3753
3777,3754,3759,3762,3759,3759,3755,3755
3768,3745,3750,3747,3748,3750,3748,3743
3784,3742,3737,3744,3744,3742,3737,3737
3773,3759,3713,3747,3747,3749,3741,3739
3773,3752,3748,3747,3750,3752,3743,3750
3773,3745,3746,3747,3751,3749,3747,3744
3783,501,3745,3762,3757,3751,3755,3762
3769,3754,3745,3740,3748,3744,3746,3742
3774,3755,3713,3752,3749,3747,3749,3746
3774,3756,3752,3752,3759,3748,3753,3751
3771,3755,3751,3744,3748,3748,3749,3750
3779,3758,3752,3753,515,3742,3755,3756
3777,3756,3756,3749,3752,3748,3748,3747
3819,3795,4019,4023,3797,3803,3795,3804
3772,3748,3751,3754,3757,3760,3751,3749
