Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,904,920,875,901,936,908,900,897
B1,863,864,850,870,856,864,867,875
B2,891,879,862,881,892,882,872,899
B3,950,934,968,1288,922,908,944,983
B4,915,885,907,925,907,908,909,929
B5,897,881,890,900,871,893,884,870
B6,939,907,923,901,913,1269,904,936
B7,929,929,895,918,893,933,911,886
B8,871,437,877,910,889,868,867,907
B9,1127,880,918,893,902,923,910,908
B10,871,870,874,876,874,877,864,873
B11,889,910,903,949,900,896,881,891
B12,887,872,884,900,884,890,891,903
B13,873,861,447,893,876,871,867,858
B14,900,901,886,902,890,909,909,893
B15,867,878,874,881,885,923,888,885
