Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1972,1953,1940,1948,1974,1960,1985,1961
B1,1943,1920,1911,1924,1903,1898,1932,1937
B2,1956,1964,1890,1897,1942,1912,1913,1968
B3,1982,1935,2009,3733,1959,1917,1951,1906
B4,1933,1905,1920,1911,1941,1939,1929,1964
B5,1994,1931,1981,1956,1943,1964,1941,1928
B6,1979,1891,1937,1930,1927,3735,1909,1969
B7,1948,1962,1930,1942,1922,1921,1956,1921
B8,1957,394,1938,1962,1965,1960,1954,1973
B9,3512,1901,1915,1906,1905,1902,1910,1940
B10,1909,1927,1913,1900,1921,1898,1912,1913
B11,1967,2006,1953,1981,1982,1930,1964,1940
B12,2008,2024,1932,1947,1968,1946,1925,2006
B13,1955,1915,403,1972,1957,1928,1931,1904
B14,1962,1915,1915,1931,1939,1943,1950,1900
B15,1908,1959,1960,1962,1960,1954,1958,1955
