Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1629,1601,1585,1623,1628,1631,1625,1619
B1,1579,1573,1543,1554,1530,1547,1571,1594
B2,1593,1608,1539,1553,1612,1561,1558,1612
B3,1596,1567,1647,3691,1587,1538,1585,1524
B4,1560,1554,1576,1556,1564,1584,1569,1612
B5,1658,1579,1659,1600,1592,1635,1599,1578
B6,1596,1548,1576,1551,1557,3688,1579,1568
B7,1574,1600,1565,1587,1566,1533,1595,1581
B8,1611,421,1607,1632,1624,1626,1610,1640
B9,3427,1543,1567,1545,1533,1529,1545,1548
B10,1585,1607,1583,1571,1577,1544,1549,1583
B11,1609,1691,1624,1675,1657,1595,1651,1639
B12,1652,1682,1559,1593,1607,1576,1573,1660
B13,1588,1555,433,1631,1600,1559,1580,1537
B14,1635,1582,1576,1592,1637,1611,1630,1539
B15,1563,1619,1636,1600,1645,1591,1650,1618
