Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1618,1604,1592,1623,1655,1627,1626,1618
B1,1531,1547,1547,1527,1536,1549,1569,1587
B2,1604,1615,1522,1547,1590,1568,1539,1609
B3,1599,1517,1650,3695,1593,1519,1583,1528
B4,1563,1551,1549,1549,1565,1583,1573,1610
B5,1659,1583,1659,1594,1588,1635,1599,1566
B6,1597,1533,1579,1557,1569,3687,1582,1583
B7,1577,1601,1571,1606,1566,1546,1596,1571
B8,1611,420,1608,1627,1628,1626,1613,1636
B9,3432,1539,1562,1548,1535,1536,1541,1549
B10,1579,1608,1577,1558,1588,1570,1548,1580
B11,1608,1701,1609,1684,1654,1581,1656,1633
B12,1650,1693,1573,1605,1603,1578,1570,1657
B13,1594,1555,430,1630,1594,1558,1577,1533
B14,1634,1584,1573,1591,1629,1617,1624,1532
B15,1541,1610,1639,1603,1639,1572,1647,1604
