Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1829,1798,1810,1811,1850,1830,1844,1839
B1,1798,1790,1763,1756,1743,1759,1783,1786
B2,1812,1837,1733,1749,1811,1752,1783,1839
B3,1823,1790,1855,3721,1816,1761,1794,1750
B4,1788,1760,1780,1763,1800,1776,1782,1804
B5,1859,1794,1852,1813,1794,1839,1799,1781
B6,1824,1733,1797,1775,1752,3725,1779,1805
B7,1809,1826,1782,1802,1785,1779,1821,1790
B8,1825,406,1794,1847,1843,1834,1806,1861
B9,3483,1775,1782,1778,1747,1751,1764,1792
B10,1781,1809,1780,1769,1784,1767,1777,1763
B11,1813,1872,1821,1863,1846,1777,1832,1813
B12,1876,1907,1786,1802,1817,1794,1784,1873
B13,1808,1771,416,1839,1818,1784,1792,1752
B14,1843,1786,1781,1800,1828,1812,1828,1766
B15,1785,1821,1827,1802,1857,1810,1862,1828
