Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1835,1808,1799,1815,1846,1826,1839,1831
B1,1799,1782,1756,1760,1748,1756,1792,1794
B2,1807,1835,1730,1752,1808,1760,1768,1840
B3,1823,1784,1859,3713,1809,1765,1784,1763
B4,1769,1761,1784,1750,1787,1786,1784,1815
B5,1863,1792,1855,1810,1797,1836,1799,1779
B6,1840,1728,1786,1771,1747,3726,1778,1788
B7,1808,1815,1785,1812,1775,1762,1813,1785
B8,1820,408,1774,1848,1839,1836,1806,1864
B9,3377,1763,1782,1781,1754,1755,1755,1789
B10,1782,1798,1764,1766,1784,1769,1765,1786
B11,1824,1873,1816,1863,1844,1778,1832,1815
B12,1877,1902,1788,1809,1816,1795,1784,1872
B13,1801,1768,414,1842,1815,1785,1782,1753
B14,1840,1794,1783,1803,1832,1821,1835,1724
B15,1784,1820,1837,1794,1851,1804,1847,1841
