Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1830,1792,1803,1815,1848,1826,1844,1833
B1,1796,1771,1763,1765,1746,1772,1793,1791
B2,1803,1830,1736,1749,1804,1758,1784,1837
B3,1823,1792,1862,3714,1803,1755,1792,1744
B4,1787,1757,1775,1755,1807,1783,1784,1825
B5,1862,1787,1846,1807,1794,1832,1790,1775
B6,1824,1739,1808,1778,1764,3736,1784,1804
B7,1795,1833,1784,1805,1777,1762,1816,1791
B8,1822,407,1799,1843,1844,1840,1803,1865
B9,3484,1776,1784,1775,1752,1740,1753,1784
B10,1773,1800,1779,1760,1783,1761,1762,1775
B11,1825,1869,1816,1867,1844,1773,1843,1820
B12,1876,1900,1780,1800,1817,1794,1781,1888
B13,1807,1764,414,1841,1823,1787,1783,1753
B14,1846,1794,1788,1799,1845,1825,1840,1762
B15,1784,1813,1831,1802,1856,1816,1822,1827
